id,label,instagram
1,Positive,"#gilikapal#lombok#kerenKangen pantai, komen dong pantai mana favorite kalian gengs? Gili Kapal, East Lombok  "
2,Positive,"Bahagia pokoknya Lokasi: Batu Payung, Pujut - Lombok Tengah"
3,Negative,Sembalun Lombok
4,Positive,this lombok NTB indonesia kalau anda datang ke lombok jangan sampai ketinggalan di pantai yang satu ini dan keunikan ya luar biasa karna di pagi hari dan sore hari ditempat ini selalu dilalui kerbau yang lewat di sepanjang pantai ini selong belanak 
5,Positive,"Pantai-pantai pesisir Utara pulau Lombok Kalau ada jalan 10 KM ditempuh dalam 5 jam, itu bukan karena macet....setiap 1 KM berhenti untuk menikmati keindahan pantainya, dan itu tidak cukup 30 menit Sepi.....mungkin karena ada puluhan pantai berpasir putih di Lombok.....dan pantai pasir hitam menjadi tidak laku dijual pantai lomboku tara "
6,Netral,Pantai Selong Belanak Bukit Lebah Lombok Nusa Tengara Baret Indonesi
7,Positive,Bismillah.masih Awal bulan di awal tahun nih Moment yang pas buat kalian merencanakan liburan bersama keluarga.Mumpung tanggal belum tua2 banget .Tentunya biar ngga kebobolan kantong ada program promo aeal tahun dari kami yang masih bisa kalian nikmatin. langsung saja hubung info kontak yang ada di bioInfo Private Trip 
8,Positive,"Apakah kau masih bisa berpaling dari hamparan alam yg begitu indah?Loc : Gili Temeaq,Pantai piknikjogja"
9,Positive,Bosen??? Liburan ke Lombok yuk.... Selong Belanak
10,Positive,"Sesungguhnya bersama kesulitan ada kemudahan Labuan Haji, Nusa Tenggara Barat, Indonesia"
11,Netral,"Traveling, lalu kulineran di resto itu biasa, sob! Tapi traveling, terus kulineran ala streetfood itu...rasanya kayak kenalan sama gadis cantik yang lagi gak pake make up"
12,Positive,"Explore Lombok di awal tahun dengan berbagai obyek wisata,pantai dengan pasir putih,wisata bawah laut yg indah dengan bersnorkling,pegunungan dengan air terjun yg sejuk,desa adat yg unik,dan masih banyak obyek wisata laennyaYg butuh paket liburan murah tp gk murahan,hubungi di no kontak 087765548557Harga di mulai dri 1jt/pax udh termasuk?Hotel selama 2mlm(ac,tv,wifi,hot shower,sarapan)?transport selama perjalanan ?mkn siang dan mkn mlm selama di lombok?private speedboat ke gili trawangan ?biaya masuk dan parkir tiap obyek wisataalam"
13,Netral,Ajakin foto mermaid terdampar??
