id,label,tweet
1,0,"__label__positive Kangen pantai, komen dong pantai mana favorite kalian gengs? Gili Kapal, East Lombok  "
2,0,"__label__positive Bahagia pokoknya Lokasi: Batu Payung, Pujut - Lombok Tengah"
3,0,__label__positive Sembalun Lombok
4,0,__label__positive this lombok NTB indonesia kalau anda datang ke lombok jangan sampai ketinggalan di pantai yang satu ini dan keunikan ya luar biasa karna di pagi hari dan sore hari ditempat ini selalu dilalui kerbau yang lewat di sepanjang pantai ini selong belanak 
5,0,"__label__positive Pantai-pantai pesisir Utara pulau Lombok Kalau ada jalan 10 KM ditempuh dalam 5 jam, itu bukan karena macet....setiap 1 KM berhenti untuk menikmati keindahan pantainya, dan itu tidak cukup 30 menit Sepi.....mungkin karena ada puluhan pantai berpasir putih di Lombok.....dan pantai pasir hitam menjadi tidak laku dijual pantai lomboku tara "
6,0,__label__positive Pantai Selong Belanak Bukit Lebah Lombok Nusa Tengara Baret Indonesi
7,0,__label__positive Bismillah.masih Awal bulan di awal tahun nih Moment yang pas buat kalian merencanakan liburan bersama keluarga.Mumpung tanggal belum tua2 banget .Tentunya biar ngga kebobolan kantong ada program promo aeal tahun dari kami yang masih bisa kalian nikmatin. langsung saja hubung info kontak yang ada di bioInfo Private Trip 
8,0,"__label__positive Apakah kau masih bisa berpaling dari hamparan alam yg begitu indah?Loc : Gili Temeaq,Pantai piknikjogja"
9,0,__label__positive Bosen??? Liburan ke Lombok yuk.... Selong Belanak
10,0,"__label__positive Sesungguhnya bersama kesulitan ada kemudahan Labuan Haji, Nusa Tenggara Barat, Indonesia"
11,1,"__label__negative Traveling, lalu kulineran di resto itu biasa, sob! Tapi traveling, terus kulineran ala streetfood itu...rasanya kayak kenalan sama gadis cantik yang lagi gak pake make up"
12,1,"__label__positive Explore Lombok di awal tahun dengan berbagai obyek wisata,pantai dengan pasir putih,wisata bawah laut yg indah dengan bersnorkling,pegunungan dengan air terjun yg sejuk,desa adat yg unik,dan masih banyak obyek wisata laennyaYg butuh paket liburan murah tp gk murahan,hubungi di no kontak 087765548557Harga di mulai dri 1jt/pax udh termasuk?Hotel selama 2mlm(ac,tv,wifi,hot shower,sarapan)?transport selama perjalanan ?mkn siang dan mkn mlm selama di lombok?private speedboat ke gili trawangan ?biaya masuk dan parkir tiap obyek wisataalam"
13,1,__label__positive Ajakin foto mermaid terdampar??
14,1,"__label__positive Bismillah.Awal bulan di awal tahun nih.Moment yang pas buat kalian merencanakan liburan bersama keluarga.Mumpung tanggal belum tua2 banget .Liburan dipercaya bisa men' top up tenaga dan pikiran biar lebih semangat ketika akan memulai aktifas lagi. Tentunya biar ngga kebobolan kantong dengan kalkulasi biaya liburan lebih tepat sasaran. Kalian bisa menggunakan trip planner kami. lebih efisien, efektif dan praktis tentunya.Info Private Trip "
15,0,"__label__negative Holiday Resort Lombok ?  ? Jl Raya Mangsit Senggigi Beach Lombok Indonesia, LombokTransport"
16,0,__label__positive Ayah bunda pacaran dlu y nak...mumpung alesha lg manja2an sm uty ??? udh lma g fto bgni ay @rifqisenoadi 
17,0,"__label__positive BismillahSelamat pagi sobad dolanTahun 2019 sudah berakhir, dan sebaiknya menutupnya dengan doa akhir tahun. Tahun baru 2020 sudah datang .Mengawali tahun baru dengan doa awal tahun juga sangatlah baik, berharap kebaikan-kebaikan dari Allah swtAda baiknya, menutup akhir tahun dengan membaca doa berupa harapan sekaligus ampunan dosa. Sehingga ada optimisme ketika membuka lembaran baru di tahun baru 2020."
18,2,"__label__positive Happy New Year 2020 Semuanyahhh - Love from Lombok - Nusa Tenggara Barat - Said Bye to 2019 - Thankyou for all the memories and all kindness shared, now welcoming 2020 with Geeat Joy and Enthusiasm "
19,2,"__label__positive Selamat datang 2020Harmoni Lombok Tour siap melayani, dan membantu setiap kebutuhan wisata Anda dengan senang hati dan profesional"
20,2,__label__negative Jangan lupa malam hari ini pergantian tahun... Kita kumpul di new surya yaaa.. 
21,0,"__label__positive Sire Beach, Lombok Hai temans, liburan panjang gini lebih enak ke pantai atau gunung ya? Menurut kalian bagaimana?"
